condorcet winner: DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,DOUG WELTON,LINDA CARTER,SCOTT PINKHAM
BRIAN V. HULET,,1789.00,991.00,1374.00,1980.00
CARY KENNETH STOCKWELL,747.00,,531.00,819.00,1394.00
DOUG WELTON,1594.00,2009.00,,1548.00,2125.00
LINDA CARTER,1181.00,1639.00,1019.00,,1792.00
SCOTT PINKHAM,523.00,889.00,416.00,659.00,
