condorcet winner: CORINA LOPEZ,CORINA LOPEZ,LEAH HALL,MIA OUSLEY
CORINA LOPEZ,,9331.00,9032.00
LEAH HALL,4563.00,,5802.00
MIA OUSLEY,4664.00,6365.00,
