condorcet winner: KATE HARRISON,BEN GOULD,GREGORY MAGOFNA,KATE HARRISON
BEN GOULD,,3281.00,2333.00
GREGORY MAGOFNA,1276.00,,1449.00
KATE HARRISON,3078.00,3753.00,
