condorcet winner: Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Dana Hansen,Phillipe M. Cunningham,Stephanie Gasca,writeIns
"Barbara A. ""Barb"" Johnson",,81.49,48.26,60.81,97.73
Dana Hansen,18.51,,13.34,16.46,92.15
Phillipe M. Cunningham,51.74,86.66,,70.12,98.91
Stephanie Gasca,39.19,83.54,29.88,,98.22
writeIns,2.27,7.85,1.09,1.78,
