condorcet winner: MATT HANEY,CHRISTINE JOHNSON,MATT HANEY,SONJA TRAUSS
CHRISTINE JOHNSON,,36.88,55.35
MATT HANEY,63.12,,68.03
SONJA TRAUSS,44.65,31.97,
