condorcet winner: Ross Mirkarimi,Andrew Sullivan,Bill Barnes,Brett Wheeler,Dan Kalb,Emmett Gilman,Francis Somesel,H. Brown,Jim Siegel,Joseph Blue,Julian Davis,Lisa Feldstein,Michael E. O'connor,Nick Waugh,Patrick M. Ciocca,Phillip House,Phoenix Streets,Rob Anderson,Robert Haaland,Ross Mirkarimi,Susan C. King,Tys Sniffen,Vivian Wilder
Andrew Sullivan,,5248.00,5316.00,5193.00,5380.00,5281.00,5415.00,4822.00,5306.00,5397.00,5005.00,5306.00,4770.00,5409.00,5420.00,5364.00,5411.00,4990.00,4754.00,5340.00,5262.00,5417.00
Bill Barnes,5209.00,,5340.00,4550.00,5437.00,5437.00,5482.00,5375.00,5362.00,5456.00,4857.00,5428.00,5025.00,5485.00,5491.00,5374.00,5464.00,3901.00,4383.00,5379.00,5438.00,5478.00
Brett Wheeler,2573.00,2585.00,,2523.00,2729.00,2740.00,2764.00,2638.00,2719.00,2707.00,2488.00,2708.00,2449.00,2767.00,2772.00,2665.00,2713.00,2467.00,2189.00,2617.00,2726.00,2747.00
Dan Kalb,5457.00,5421.00,5635.00,,5750.00,5757.00,5813.00,5652.00,5732.00,5757.00,5026.00,5723.00,5231.00,5812.00,5817.00,5706.00,5765.00,4193.00,4513.00,5546.00,5713.00,5786.00
Emmett Gilman,1311.00,1288.00,1325.00,1314.00,,1331.00,1369.00,1309.00,1326.00,1337.00,1166.00,1314.00,1293.00,1366.00,1365.00,1318.00,1369.00,1209.00,1052.00,1330.00,1338.00,1364.00
Francis Somesel,1081.00,1227.00,1285.00,1218.00,1278.00,,1307.00,1067.00,1256.00,1286.00,1206.00,1257.00,1221.00,1299.00,1305.00,1277.00,1308.00,1237.00,1170.00,1261.00,1261.00,1289.00
H. Brown,286.00,270.00,292.00,289.00,288.00,293.00,,286.00,286.00,281.00,275.00,288.00,279.00,299.00,294.00,283.00,278.00,257.00,251.00,273.00,290.00,297.00
Jim Siegel,3241.00,3722.00,3747.00,3682.00,3755.00,3719.00,3821.00,,3733.00,3781.00,3559.00,3557.00,3500.00,3810.00,3827.00,3777.00,3794.00,3573.00,3318.00,3718.00,3599.00,3812.00
Joseph Blue,1848.00,1898.00,1963.00,1957.00,1992.00,1957.00,2016.00,1854.00,,2002.00,1819.00,1973.00,1835.00,2006.00,2014.00,1958.00,2008.00,1847.00,1739.00,1979.00,1970.00,2010.00
Julian Davis,1533.00,1522.00,1503.00,1513.00,1563.00,1578.00,1584.00,1532.00,1560.00,,1429.00,1486.00,1443.00,1582.00,1584.00,1543.00,1535.00,1408.00,1254.00,1458.00,1569.00,1572.00
Lisa Feldstein,11951.00,11902.00,12227.00,11890.00,12330.00,12425.00,12461.00,12251.00,12253.00,12357.00,,12288.00,11614.00,12454.00,12454.00,12266.00,12421.00,8150.00,6913.00,12029.00,12301.00,12431.00
Michael E. O'connor,2350.00,2420.00,2445.00,2463.00,2491.00,2471.00,2527.00,2260.00,2452.00,2469.00,2378.00,,2359.00,2520.00,2526.00,2475.00,2479.00,2301.00,2020.00,2422.00,2434.00,2512.00
Nick Waugh,6797.00,7615.00,7725.00,7552.00,7883.00,7896.00,7953.00,7624.00,7832.00,7881.00,7143.00,7847.00,,7943.00,7950.00,7810.00,7894.00,6860.00,6335.00,7723.00,7771.00,7929.00
Patrick M. Ciocca,377.00,398.00,406.00,399.00,407.00,401.00,416.00,385.00,397.00,407.00,384.00,393.00,379.00,,418.00,399.00,405.00,383.00,350.00,401.00,408.00,414.00
Phillip House,272.00,281.00,281.00,269.00,279.00,282.00,281.00,275.00,274.00,276.00,260.00,226.00,273.00,285.00,,269.00,275.00,250.00,199.00,269.00,277.00,284.00
Phoenix Streets,2337.00,2216.00,2335.00,2311.00,2374.00,2406.00,2428.00,2360.00,2345.00,2375.00,2150.00,2363.00,2164.00,2416.00,2428.00,,2379.00,2110.00,1858.00,2293.00,2370.00,2412.00
Rob Anderson,1149.00,1160.00,1147.00,1122.00,1200.00,1200.00,1200.00,1142.00,1174.00,1161.00,1120.00,1129.00,1051.00,1192.00,1205.00,1129.00,,1030.00,1020.00,1097.00,1176.00,1188.00
Robert Haaland,13316.00,13121.00,13548.00,13242.00,13673.00,13707.00,13755.00,13599.00,13604.00,13672.00,12043.00,13580.00,12837.00,13749.00,13751.00,13570.00,13691.00,,8233.00,13496.00,13616.00,13733.00
Ross Mirkarimi,15883.00,15829.00,16187.00,15912.00,16367.00,16393.00,16481.00,16114.00,16319.00,16361.00,14883.00,16268.00,15348.00,16467.00,16483.00,16238.00,16433.00,14393.00,,16159.00,16261.00,16461.00
Susan C. King,3898.00,3794.00,3891.00,3750.00,3955.00,3985.00,4008.00,3930.00,3943.00,3889.00,3168.00,3877.00,3596.00,4012.00,4005.00,3893.00,3932.00,3421.00,2930.00,,3935.00,3970.00
Tys Sniffen,2011.00,2398.00,2434.00,2385.00,2440.00,2417.00,2468.00,2004.00,2430.00,2429.00,2263.00,2285.00,2230.00,2459.00,2470.00,2410.00,2436.00,2287.00,2006.00,2408.00,,2461.00
Vivian Wilder,714.00,701.00,710.00,690.00,736.00,736.00,744.00,724.00,720.00,730.00,618.00,714.00,656.00,747.00,748.00,702.00,726.00,670.00,655.00,622.00,735.00,
