condorcet winner: LARRY E. REID,BEVERLY WILLIAMS,LARRY E. REID,SHERYL WALTON,writeIns
BEVERLY WILLIAMS,,23.81,27.81,96.35
LARRY E. REID,76.19,,62.60,98.18
SHERYL WALTON,72.19,37.40,,97.81
writeIns,3.65,1.82,2.19,
