condorcet winner: JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
Eric John Holmes,,47.04,39.58
Greg Scargall,52.96,,43.54
JoAnne Vigil Coppler,60.42,56.46,
