condorcet winner: ROSIE TORRES,MIKE HUTCHINSON,ROSIE TORRES,writeIns
MIKE HUTCHINSON,,4958.00,7651.00
ROSIE TORRES,6014.00,,8564.00
writeIns,202.00,162.00,
