condorcet winner: Jamal Osman,AJ Awed,AK Hassan,Abdirizak Bihi,Alex Palacios,Jamal Osman,Joshua Scheunemann,Michael P. Dougherty,Mohamoud Hassan,Nebiha Mohammed,Saciido Shaie,Sara Mae Engberg,Suud Olat,writeIns
AJ Awed,,57.57,63.37,71.21,44.99,87.70,79.06,87.05,77.58,74.54,85.92,89.71,98.77
AK Hassan,42.43,,55.81,63.68,38.23,83.32,74.98,85.19,71.31,67.50,81.02,87.44,97.79
Abdirizak Bihi,36.63,44.19,,57.17,32.82,78.36,69.44,80.55,64.97,61.75,75.73,82.47,97.10
Alex Palacios,28.79,36.32,42.83,,26.83,75.98,62.87,75.64,59.14,55.35,72.62,78.97,96.46
Jamal Osman,55.01,61.77,67.18,73.17,,88.33,82.61,90.55,80.17,76.25,86.84,91.65,98.52
Joshua Scheunemann,12.30,16.68,21.64,24.02,11.67,,36.57,52.28,33.13,28.56,47.28,56.29,91.12
Michael P. Dougherty,20.94,25.02,30.56,37.13,17.39,63.43,,64.55,44.51,40.04,61.75,68.51,93.76
Mohamoud Hassan,12.95,14.81,19.45,24.36,9.45,47.72,35.45,,31.19,27.68,45.67,55.43,89.45
Nebiha Mohammed,22.42,28.69,35.03,40.86,19.83,66.87,55.49,68.81,,45.27,65.13,75.00,95.02
Saciido Shaie,25.46,32.50,38.25,44.65,23.75,71.44,59.96,72.32,54.73,,68.45,76.24,95.57
Sara Mae Engberg,14.08,18.98,24.27,27.38,13.16,52.72,38.25,54.33,34.87,31.55,,59.66,91.56
Suud Olat,10.29,12.56,17.53,21.03,8.35,43.71,31.49,44.57,25.00,23.76,40.34,,87.85
writeIns,1.23,2.21,2.90,3.54,1.48,8.88,6.24,10.55,4.98,4.43,8.44,12.15,
