condorcet winner: PAULINE RUSSO CUTTER,CORINA N. LOPEZ,PAULINE RUSSO CUTTER,writeIns
CORINA N. LOPEZ,,46.32,97.48
PAULINE RUSSO CUTTER,53.68,,97.59
writeIns,2.52,2.41,
