condorcet winner: Brad Bourn,Brad Bourn,Geneva Hanvik,Meg Forney,Steven Jecha,writeIns
Brad Bourn,,5086.00,4300.00,4853.00,5319.00
Geneva Hanvik,805.00,,583.00,1006.00,1329.00
Meg Forney,3506.00,5093.00,,4557.00,5271.00
Steven Jecha,1517.00,2375.00,1593.00,,2596.00
writeIns,58.00,79.00,57.00,74.00,
