condorcet winner: LEE THOMAS,ALLEN SCHOENFELD,LEE THOMAS,VICTOR AGUILAR
ALLEN SCHOENFELD,,2927.00,3084.00
LEE THOMAS,9908.00,,8131.00
VICTOR AGUILAR,8787.00,5502.00,
