condorcet winner: Carol Kummer,Carol Kummer,Dan W. Peterson,Jason Stone,McClain Looney,Steve Barland,writeIns
Carol Kummer,,86.85,52.53,93.40,62.67,98.87
Dan W. Peterson,13.15,,17.69,67.30,20.08,94.83
Jason Stone,47.47,82.31,,90.57,58.59,98.79
McClain Looney,6.60,32.70,9.43,,12.27,91.27
Steve Barland,37.33,79.92,41.41,87.73,,98.35
writeIns,1.13,5.17,1.21,8.73,1.65,
