"condorcet winner: Golden, Jared F.","Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.","St. Clair, Lucas R."
"Fulford, Jonathan S.",,13.76,28.99,16.74
"Golden, Jared F.",86.24,,77.23,54.32
"Olson, Craig R.",71.01,22.77,,27.25
"St. Clair, Lucas R.",83.26,45.68,72.75,
