condorcet winner: Arron Peskin,Arron Peskin,Brian Murphy 0'flynn,Eugene Chi-ching Wong,Sal Busalacchi
Arron Peskin,,17984.00,18628.00,19254.00
Brian Murphy 0'flynn,6855.00,,11706.00,13002.00
Eugene Chi-ching Wong,6223.00,8111.00,,10345.00
Sal Busalacchi,5136.00,5402.00,8505.00,
