condorcet winner: Pat McCarthy,Calvin Goings,Mike Lonergan,Pat McCarthy,Shawn Bunney,writeIns
Calvin Goings,,135825.00,105088.00,136929.00,172781.00
Mike Lonergan,94141.00,,92518.00,103825.00,149652.00
Pat McCarthy,119583.00,137392.00,,136346.00,173779.00
Shawn Bunney,131020.00,135753.00,132292.00,,160068.00
writeIns,2320.00,2085.00,2360.00,1421.00,
