condorcet winner: Sandy Colvin Roy,Brent Perry,Charley Underwood,Rick L. Nyhlen,Sandy Colvin Roy,writeIns
Brent Perry,,342.00,539.00,383.00,735.00
Charley Underwood,1985.00,,1749.00,951.00,2139.00
Rick L. Nyhlen,1592.00,1170.00,,1091.00,1691.00
Sandy Colvin Roy,3557.00,3227.00,3414.00,,3667.00
writeIns,51.00,40.00,36.00,32.00,
