condorcet winner: Liz Wielinski,Bernie Kunza,John Malone,Liz Wielinski,writeIns
Bernie Kunza,,62.65,19.35,97.54
John Malone,37.35,,14.39,96.56
Liz Wielinski,80.65,85.61,,98.94
writeIns,2.46,3.44,1.06,
