condorcet winner: Phil Ting,Anthony Faber,Gerardo Sandoval,Phil Ting,Ronald Chun
Anthony Faber,,31.00,33.00,24.00
Gerardo Sandoval,141314.00,,79261.00,99145.00
Phil Ting,161745.00,110053.00,,127964.00
Ronald Chun,130361.00,66961.00,47343.00,
