condorcet winner: Abdi Warsame,Abdi Warsame,Fadumo Yusuf,Mohamud Noor,Tiffini Forslund,writeIns
Abdi Warsame,,93.11,51.58,99.84,98.55
Fadumo Yusuf,6.89,,6.49,98.93,86.55
Mohamud Noor,48.42,93.51,,99.86,98.98
Tiffini Forslund,0.16,1.07,0.14,,5.82
writeIns,1.45,13.45,1.02,94.18,
