condorcet winner: TOM BATES,BERNT RAINER WAHL,JACQUELYN MCCORMICK,KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,KRISS WORTHINGTON,MARK SCHWARTZ,TOM BATES,ZACHARY RUNNINGWOLF,writeIns
BERNT RAINER WAHL,,8209.00,10028.00,7588.00,10731.00,5317.00,9684.00,10706.00
JACQUELYN MCCORMICK,18516.00,,18090.00,12173.00,20093.00,12181.00,19113.00,20066.00
KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,9897.00,8330.00,,6031.00,10859.00,7529.00,9167.00,10845.00
KRISS WORTHINGTON,25559.00,23436.00,25590.00,,27283.00,15696.00,26231.00,27262.00
MARK SCHWARTZ,26.00,23.00,26.00,23.00,,19.00,19.00,27.00
TOM BATES,36619.00,35097.00,37265.00,32740.00,38399.00,,37238.00,38368.00
ZACHARY RUNNINGWOLF,8678.00,7961.00,8275.00,6110.00,9705.00,5586.00,,9690.00
writeIns,508.00,476.00,519.00,441.00,547.00,315.00,506.00,
