condorcet winner: MICHAEL J. GREGORY,CAROL LIBBRECHT,"DAVID L. ANDERSON, SR.",MICHAEL J. GREGORY,writeIns
CAROL LIBBRECHT,,129.00,135.00,151.00
"DAVID L. ANDERSON, SR.",14337.00,,6822.00,14314.00
MICHAEL J. GREGORY,16709.00,13084.00,,16664.00
writeIns,1784.00,326.00,374.00,
