condorcet winner: LARRY E. REID,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
LARRY E. REID,,63.57,67.48
MARCIE HODGE,36.43,,59.67
NEHANDA IMARA,32.52,40.33,
