condorcet winner: ROSS MIRKARIMI,CHRIS CUNNIE,DAVID WONG,PAUL MIYAMOTO,ROSS MIRKARIMI
CHRIS CUNNIE,,78.78,49.52,45.95
DAVID WONG,21.22,,17.48,21.75
PAUL MIYAMOTO,50.48,82.52,,46.46
ROSS MIRKARIMI,54.05,78.25,53.54,
