condorcet winner: CHERYL DAVILA,CHERYL DAVILA,DARRYL MOORE,NANCI IRA ARMSTRONG-TEMPLE
CHERYL DAVILA,,3451.00,3247.00
DARRYL MOORE,3283.00,,3392.00
NANCI IRA ARMSTRONG-TEMPLE,2853.00,3315.00,
