condorcet winner: Chris Daly,Chris Daly,Davy Jones,George Dias,"Manuel Jimenez, Jr.",Matt Drake,Rob Black,Robert Jordan,Viliam Dugovic
Chris Daly,,88.51,90.02,86.67,78.68,54.45,94.91,90.72
Davy Jones,11.49,,63.32,52.76,41.86,15.14,76.46,57.40
George Dias,9.98,36.68,,37.35,27.07,8.65,64.85,44.26
"Manuel Jimenez, Jr.",13.33,47.24,62.65,,37.81,11.68,73.75,55.11
Matt Drake,21.32,58.14,72.93,62.19,,14.68,82.20,65.18
Rob Black,45.55,84.86,91.35,88.32,85.32,,94.06,87.16
Robert Jordan,5.09,23.54,35.15,26.25,17.80,5.94,,28.87
Viliam Dugovic,9.28,42.60,55.74,44.89,34.82,12.84,71.13,
