condorcet winner: RAFAEL MANDELMAN,JEFF SHEEHY,LAWRENCE ''STARK'' DAGESSE,RAFAEL MANDELMAN
JEFF SHEEHY,,89.40,38.85
LAWRENCE ''STARK'' DAGESSE,10.60,,7.48
RAFAEL MANDELMAN,61.15,92.52,
