condorcet winner: SUSAN WENGRAF,PHOEBE SORGEN,SUSAN WENGRAF,writeIns
PHOEBE SORGEN,,292.00,325.00
SUSAN WENGRAF,5609.00,,5648.00
writeIns,143.00,108.00,
