condorcet winner: JOHN ERWIN,ANNIE YOUNG,CASPER HILL,HASHIM YONIS,ISHMAEL ISRAEL,JASON STONE,JOHN ERWIN,MARY LYNN MCPHERSON,MEG FORNEY,STEVE BARLAND,TOM NORDYKE,writeIns
ANNIE YOUNG,,23924.00,23779.00,23071.00,21399.00,17334.00,21957.00,20598.00,23593.00,22305.00,24380.00
CASPER HILL,3363.00,,3857.00,3656.00,3488.00,3218.00,3733.00,3522.00,3668.00,3697.00,4041.00
HASHIM YONIS,5666.00,6300.00,,5474.00,6130.00,5913.00,6174.00,5901.00,6287.00,6194.00,6436.00
ISHMAEL ISRAEL,6739.00,8040.00,7485.00,,7226.00,6564.00,7876.00,7387.00,7943.00,7761.00,8254.00
JASON STONE,11527.00,15626.00,15723.00,15245.00,,9722.00,15384.00,14866.00,15233.00,14509.00,16006.00
JOHN ERWIN,22990.00,25841.00,26005.00,25530.00,23268.00,,25731.00,24662.00,25244.00,21962.00,26253.00
MARY LYNN MCPHERSON,7377.00,9875.00,9831.00,9578.00,9605.00,9166.00,,6950.00,9600.00,9484.00,10196.00
MEG FORNEY,14058.00,17661.00,17664.00,17142.00,16757.00,15287.00,16147.00,,17009.00,16212.00,18089.00
STEVE BARLAND,6920.00,7536.00,7652.00,7572.00,6827.00,6554.00,7329.00,6929.00,,6763.00,7801.00
TOM NORDYKE,14609.00,16345.00,16373.00,16151.00,14968.00,10443.00,16075.00,15136.00,15751.00,,16589.00
writeIns,545.00,582.00,587.00,560.00,565.00,526.00,589.00,559.00,574.00,555.00,
