condorcet winner: VICKI HENNESSY,JOHN ROBINSON,ROSS MIRKARIMI,VICKI HENNESSY
JOHN ROBINSON,,45799.00,18562.00
ROSS MIRKARIMI,80096.00,,63405.00
VICKI HENNESSY,136107.00,118517.00,
