condorcet winner: Andrea Jenkins,Andrea Jenkins,April Kane,David Holsinger,Terry White,writeIns
Andrea Jenkins,,86.06,91.98,84.06,99.36
April Kane,13.94,,84.14,50.50,97.93
David Holsinger,8.02,15.86,,15.72,90.75
Terry White,15.94,49.50,84.28,,97.70
writeIns,0.64,2.07,9.25,2.30,
