condorcet winner: Jake McGoldrick,David Heller,Jake McGoldrick,Jeffrey S. Freebairn,Leanna Dawydiak,Lillian Sing,Matt Tuchow,Rose Tsui
David Heller,,23.98,88.85,54.25,27.48,33.54,51.94
Jake McGoldrick,76.02,,96.24,78.75,54.01,66.77,74.46
Jeffrey S. Freebairn,11.15,3.76,,14.41,7.03,7.20,15.16
Leanna Dawydiak,45.75,21.25,85.59,,24.45,30.29,48.86
Lillian Sing,72.52,45.99,92.97,75.55,,62.12,81.54
Matt Tuchow,66.46,33.23,92.80,69.71,37.88,,65.95
Rose Tsui,48.06,25.54,84.84,51.14,18.46,34.05,
