condorcet winner: Brad Bourn,Bob Fine,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob""",writeIns
Bob Fine,,8471.00,10793.00,11643.00,12156.00
Brad Bourn,8785.00,,10308.00,11097.00,11580.00
Jennifer Zielinski,3565.00,4176.00,,5976.00,6600.00
"Robert M Schlosser ""Bob""",1660.00,2201.00,2040.00,,3507.00
writeIns,176.00,160.00,235.00,276.00,
