condorcet winner: BEN BARTLETT,AL G. MURRAY,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
AL G. MURRAY,,501.00,1263.00,781.00
BEN BARTLETT,5725.00,,4757.00,4779.00
DEBORAH MATTHEWS,3723.00,1977.00,,2670.00
MARK A. COPLAN,4283.00,1893.00,3165.00,
