condorcet winner: LIBBY SCHAAF,CAT BROOKS,CEDRIC A. TROUPE,JESSE A.J. SMITH,KEN HOUSTON,LIBBY SCHAAF,MARCHON TATMON,NANCY SIDEBOTHAM,PAMELA PRICE,PETER YUAN LIU,SAIED KARAMOOZ
CAT BROOKS,,85898.00,86135.00,85480.00,53722.00,85104.00,85856.00,64002.00,86249.00,83957.00
CEDRIC A. TROUPE,5232.00,,7204.00,6903.00,4729.00,7007.00,7106.00,4929.00,7281.00,7109.00
JESSE A.J. SMITH,3989.00,5252.00,,5332.00,3342.00,5529.00,5425.00,3836.00,5470.00,5443.00
KEN HOUSTON,6950.00,8822.00,8985.00,,6067.00,8800.00,8737.00,6696.00,8839.00,8902.00
LIBBY SCHAAF,93411.00,111256.00,111404.00,110881.00,,110671.00,110978.00,95289.00,111315.00,110363.00
MARCHON TATMON,9463.00,15990.00,16182.00,15812.00,10497.00,,15836.00,7282.00,16143.00,15749.00
NANCY SIDEBOTHAM,8086.00,9940.00,10045.00,9843.00,4721.00,9887.00,,7124.00,9964.00,9587.00
PAMELA PRICE,48912.00,89162.00,89374.00,88587.00,50567.00,88065.00,88856.00,,89488.00,86433.00
PETER YUAN LIU,4226.00,4815.00,4815.00,4655.00,2512.00,4843.00,4670.00,4112.00,,4682.00
SAIED KARAMOOZ,10349.00,20555.00,20615.00,20398.00,13845.00,20383.00,20171.00,10969.00,20497.00,
