condorcet winner: LORI DROSTE,GEORGE BEIER,JACQUELYN MCCORMICK,LORI DROSTE,MIKE ALVAREZ COHEN
GEORGE BEIER,,2291.00,2056.00,2073.00
JACQUELYN MCCORMICK,1584.00,,1519.00,1707.00
LORI DROSTE,2072.00,2430.00,,2321.00
MIKE ALVAREZ COHEN,1942.00,2214.00,1799.00,
