condorcet winner: BENNY LEE,BENNY LEE,CHRIS CROW,DARLENE DAEVU,JUSTIN HUTCHISON,writeIns
BENNY LEE,,60.99,61.98,73.57,97.97
CHRIS CROW,39.01,,51.64,67.11,97.49
DARLENE DAEVU,38.02,48.36,,64.99,97.46
JUSTIN HUTCHISON,26.43,32.89,35.01,,95.73
writeIns,2.03,2.51,2.54,4.27,
