condorcet winner: LINDA MAIO,ALEJANDRO SOTO-VIGIL,LINDA MAIO,MERRILIE MITCHELL
ALEJANDRO SOTO-VIGIL,,42.97,85.73
LINDA MAIO,57.03,,85.84
MERRILIE MITCHELL,14.27,14.16,
