condorcet winner: AK Hassan,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,writeIns
AK Hassan,,7753.00,8899.00,10243.00
Abdi Gurhan Mohamed,5841.00,,8127.00,9633.00
Charles Exner,2629.00,3009.00,,6016.00
writeIns,133.00,145.00,161.00,
