condorcet winner: DAN KALB,AMY LEMLEY,CRAIG BRANDT,DAN KALB,DONALD MACLEAY,GORDON ''DON'' LINK,LEN RAPHAEL,RICHARD RAYA,writeIns
AMY LEMLEY,,15536.00,11448.00,15698.00,15189.00,15448.00,12195.00,16258.00
CRAIG BRANDT,4077.00,,4179.00,4392.00,4738.00,4804.00,4538.00,5434.00
DAN KALB,12293.00,16297.00,,16213.00,16617.00,16604.00,13607.00,17521.00
DONALD MACLEAY,3611.00,4331.00,3386.00,,4171.00,4232.00,3878.00,4660.00
GORDON ''DON'' LINK,4567.00,5499.00,4637.00,5774.00,,5484.00,4826.00,6138.00
LEN RAPHAEL,4132.00,4904.00,4176.00,5182.00,4838.00,,4317.00,5489.00
RICHARD RAYA,9467.00,12853.00,9368.00,12921.00,12413.00,12547.00,,13463.00
writeIns,209.00,257.00,203.00,249.00,244.00,242.00,231.00,
