condorcet winner: URSULA REED,DAN DILLMAN,MORGAN MACK-ROSE,URSULA REED,writeIns
DAN DILLMAN,,29.61,30.73,97.64
MORGAN MACK-ROSE,70.39,,49.61,98.38
URSULA REED,69.27,50.39,,98.21
writeIns,2.36,1.62,1.79,
