condorcet winner: COURTNEY RUBY,COURTNEY RUBY,MICHAEL KILIAN,writeIns
COURTNEY RUBY,,67.63,97.66
MICHAEL KILIAN,32.37,,96.71
writeIns,2.34,3.29,
