condorcet winner: Annie Young,Annie Young,Bob Fine,David Wahstedt,John Butler,John Erwin,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke,writeIns
Annie Young,,54.89,77.80,85.46,53.66,55.93,78.56,60.77,98.17
Bob Fine,45.11,,74.35,83.98,50.04,50.16,71.70,52.78,97.79
David Wahstedt,22.20,25.65,,63.33,26.06,25.60,45.01,27.73,94.07
John Butler,14.54,16.02,36.67,,17.89,17.54,32.45,19.22,90.39
John Erwin,46.34,49.96,73.94,82.11,,49.78,69.14,59.45,97.65
Mary Merrill Anderson,44.07,49.84,74.40,82.46,50.22,,71.46,54.84,97.72
Nancy Bernard,21.44,28.30,54.99,67.55,30.86,28.54,,32.30,94.84
Tom Nordyke,39.23,47.22,72.27,80.78,40.55,45.16,67.70,,97.40
writeIns,1.83,2.21,5.93,9.61,2.35,2.28,5.16,2.60,
