condorcet winner: Alan Webber,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
Alan Webber,,12701.00,10854.00,13763.00,13088.00
Joseph M. Maestas,5702.00,,6804.00,9226.00,9786.00
Kate I. Noble,7677.00,10970.00,,11728.00,11809.00
Peter N. Ives,4488.00,7680.00,5933.00,,9436.00
Ronald S. Trujillo,6686.00,7952.00,7118.00,8397.00,
