"condorcet winner: Nolan, Patricia M.","Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
"Fantini, Alfred B.",,7615.00,7387.00,6135.00,7451.00,5991.00,5914.00,6560.00,7558.00,5732.00,5878.00,8321.00
"Forster, Bill",2259.00,,2698.00,2463.00,2866.00,2236.00,2065.00,2302.00,2926.00,2121.00,2077.00,3824.00
"Gerber, Joyce C.",3215.00,3512.00,,3224.00,3769.00,3026.00,2546.00,2996.00,3941.00,2657.00,2678.00,4740.00
"Harding, Jr., Richard",6068.00,7631.00,7459.00,,7674.00,5796.00,5708.00,6404.00,7763.00,5842.00,5787.00,8468.00
"Holland, John J.",2392.00,2888.00,2748.00,2626.00,,2603.00,2441.00,2706.00,3248.00,2567.00,2597.00,4105.00
"McGovern, Marc C.",7259.00,8924.00,8583.00,7030.00,8808.00,,6548.00,7448.00,9061.00,6734.00,6592.00,9712.00
"Nolan, Patricia M.",7950.00,9197.00,8878.00,7606.00,9081.00,6866.00,,7761.00,9343.00,7090.00,6768.00,9929.00
"Osborne, Mervan F.",6568.00,6953.00,6779.00,5936.00,6929.00,5791.00,5322.00,,7289.00,5986.00,5872.00,7996.00
"Stead, Sr., Charles Lewis",2083.00,2455.00,2364.00,1873.00,2456.00,2048.00,2055.00,2037.00,,2314.00,2203.00,3531.00
"Tauber, Nancy",7916.00,9132.00,8750.00,7487.00,8925.00,6587.00,6199.00,7161.00,9075.00,,6380.00,9808.00
"Turkel, Alice L.",8057.00,9181.00,8926.00,7600.00,9118.00,6858.00,6510.00,7331.00,9084.00,6434.00,,9830.00
writeIns,113.00,122.00,120.00,106.00,123.00,113.00,106.00,113.00,119.00,109.00,111.00,
