condorcet winner: C03,C01,C02,C03,C04,C05,C06
C01,,1282.00,798.00,1155.00,2022.00,3274.00
C02,5161.00,,3393.00,3553.00,5130.00,5867.00
C03,6954.00,5725.00,,4761.00,7020.00,7342.00
C04,6742.00,5538.00,3985.00,,6780.00,7321.00
C05,1861.00,1312.00,600.00,982.00,,3082.00
C06,424.00,305.00,192.00,320.00,505.00,
