condorcet winner: SUSAN WENGRAF,FRED DODSWORTH,ISABELLE GASTON,SUSAN WENGRAF
FRED DODSWORTH,,3589.00,2539.00
ISABELLE GASTON,1857.00,,1783.00
SUSAN WENGRAF,4712.00,5163.00,
