condorcet winner: Arron Peskin,Arron Peskin,Brian Murphy 0'flynn,Eugene Chi-ching Wong,Sal Busalacchi
Arron Peskin,,72.40,74.96,78.94
Brian Murphy 0'flynn,27.60,,59.07,70.65
Eugene Chi-ching Wong,25.04,40.93,,54.88
Sal Busalacchi,21.06,29.35,45.12,
