condorcet winner: SCOTT WIENER,BILL HEMENGER,RAFAEL MANDELMAN,REBECCA PROZAN,SCOTT WIENER,writeIns
BILL HEMENGER,,5480.00,3986.00,3179.00,7043.00
RAFAEL MANDELMAN,21359.00,,15865.00,14687.00,22030.00
REBECCA PROZAN,21561.00,13967.00,,11692.00,23100.00
SCOTT WIENER,23737.00,18239.00,18344.00,,24838.00
writeIns,145.00,82.00,121.00,120.00,
