condorcet winner: DESLEY BROOKS,DESLEY BROOKS,JAMES MOORE,MICHAEL V. JOHNSON,SHEREDA F. NOSAKHARE,VICENTE CRUZ
DESLEY BROOKS,,6120.00,5892.00,5430.00,6681.00
JAMES MOORE,3411.00,,3337.00,2608.00,5238.00
MICHAEL V. JOHNSON,3948.00,4353.00,,3490.00,5880.00
SHEREDA F. NOSAKHARE,4946.00,5898.00,5266.00,,6838.00
VICENTE CRUZ,94.00,105.00,104.00,87.00,
