condorcet winner: CATHERINE STEFANI,CATHERINE STEFANI,JOHN DENNIS,NICK JOSEFOWITZ,SCHUYLER HUDAK
CATHERINE STEFANI,,24601.00,17340.00,21393.00
JOHN DENNIS,5922.00,,6351.00,6805.00
NICK JOSEFOWITZ,16061.00,22208.00,,19360.00
SCHUYLER HUDAK,9100.00,16711.00,9930.00,
