condorcet winner: Phil Ting,Anthony Faber,Gerardo Sandoval,Phil Ting,Ronald Chun
Anthony Faber,,0.02,0.02,0.02
Gerardo Sandoval,99.98,,41.87,59.69
Phil Ting,99.98,58.13,,72.99
Ronald Chun,99.98,40.31,27.01,
