condorcet winner: DEBORAH COX,"DAVID L. ANDERSON, SR.",DEBORAH COX,KENNETH PON,MIKE KATZ-LACABE
"DAVID L. ANDERSON, SR.",,3300.00,4276.00,4561.00
DEBORAH COX,10226.00,,8860.00,8898.00
KENNETH PON,7895.00,4975.00,,6231.00
MIKE KATZ-LACABE,7600.00,4799.00,6323.00,
