"condorcet winner: Dexter, Emily R.","Allen, Ruth Ryan","Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha",writeIns
"Allen, Ruth Ryan",,25.62,44.38,22.84,29.99,45.03,43.79,38.63,29.25,40.29,24.75,98.03
"Bowman, Mannika L.",74.38,,72.35,49.67,59.34,72.11,70.57,66.19,57.10,67.16,52.51,99.01
"Dawson, Bernette J.",55.62,27.65,,28.23,37.05,52.64,51.14,45.32,35.54,47.25,29.37,98.12
"Dexter, Emily R.",77.16,50.33,71.77,,63.78,75.78,74.91,70.80,62.02,73.06,56.75,99.13
"Fantini, Alfred B.",70.01,40.66,62.95,36.22,,65.02,64.40,59.08,50.61,61.01,46.44,98.91
"Kadete, Elechi M.",54.97,27.89,47.36,24.22,34.98,,50.34,44.00,35.05,47.80,27.97,98.20
"Lim, Christopher",56.21,29.43,48.86,25.09,35.60,49.66,,45.14,36.48,48.32,31.36,98.20
"Rojas Villareal, Jose Luis",61.37,33.81,54.68,29.20,40.92,56.00,54.86,,41.49,55.26,35.14,98.52
"Weinstain, Rachel",70.75,42.90,64.46,37.98,49.39,64.95,63.52,58.51,,61.49,46.03,98.87
"Weinstein, David J.",59.71,32.84,52.75,26.94,38.99,52.20,51.68,44.74,38.51,,34.99,98.46
"Wilson, Ayesha",75.25,47.49,70.63,43.25,53.56,72.03,68.64,64.86,53.97,65.01,,99.06
writeIns,1.97,0.99,1.88,0.87,1.09,1.80,1.80,1.48,1.13,1.54,0.94,
