"condorcet winner: Arford, Poppy","Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E."
"Arford, Poppy",,1160.00,1189.00
"Perreault, Corinne Ann",870.00,,1020.00
"Wilson, Katherine E.",886.00,971.00,
