condorcet winner: LARRY E. REID,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
LARRY E. REID,,9408.00,9926.00
MARCIE HODGE,5391.00,,7292.00
NEHANDA IMARA,4784.00,4928.00,
