condorcet winner: Michela Alioto-pier,Michela Alioto-pier,Vilma Guinto Peoro,writeIns
Michela Alioto-pier,,16850.00,17961.00
Vilma Guinto Peoro,3585.00,,7106.00
writeIns,728.00,759.00,
