condorcet winner: LINEA PALMISANO,BOB REUER,DAVID REGAN,LINEA PALMISANO,MATT PERRY,MISSY DURANT,writeIns
BOB REUER,,1526.00,1336.00,1105.00,1492.00,1737.00
DAVID REGAN,470.00,,702.00,563.00,758.00,858.00
LINEA PALMISANO,7917.00,8063.00,,5059.00,6817.00,8139.00
MATT PERRY,8060.00,8227.00,4705.00,,6734.00,8342.00
MISSY DURANT,6194.00,6310.00,2040.00,2323.00,,6354.00
writeIns,72.00,80.00,68.00,57.00,87.00,
