"condorcet winner: Turkel, Alice L.","Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
"Fantini, Alfred B.",,77.21,70.06,48.66,76.57,44.24,42.18,48.95,77.23,41.76,40.68,98.25
"Forster, Bill",22.79,,43.64,23.37,51.30,19.56,18.05,23.89,52.78,18.74,17.69,95.95
"Gerber, Joyce C.",29.94,56.36,,29.00,59.22,25.04,21.60,29.32,60.81,22.72,21.80,96.74
"Harding, Jr., Richard",51.34,76.63,71.00,,76.69,45.83,43.85,52.14,80.82,44.80,43.00,98.43
"Holland, John J.",23.43,48.70,40.78,23.31,,21.28,19.85,25.97,54.23,21.35,20.23,96.05
"McGovern, Marc C.",55.76,80.44,74.96,54.17,78.72,,49.45,55.94,81.21,51.15,48.11,98.52
"Nolan, Patricia M.",57.82,81.95,78.40,56.15,80.15,50.55,,58.58,81.23,53.30,49.32,98.63
"Osborne, Mervan F.",51.05,76.11,70.68,47.86,74.03,44.06,41.42,,77.91,46.27,44.06,98.22
"Stead, Sr., Charles Lewis",22.77,47.22,39.19,19.18,45.77,18.79,18.77,22.09,,20.95,19.52,95.89
"Tauber, Nancy",58.24,81.26,77.28,55.20,78.65,48.85,46.70,53.73,79.05,,47.89,98.56
"Turkel, Alice L.",59.32,82.31,78.20,57.00,79.77,51.89,50.68,55.94,80.48,52.11,,98.59
writeIns,1.75,4.05,3.26,1.57,3.95,1.48,1.37,1.78,4.11,1.44,1.41,
