condorcet winner: Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,Steffanie Musich,writeIns
Andrea Fahrenkrug,,5473.00,3915.00,8743.00
Bill Shroyer,6301.00,,4623.00,10031.00
Steffanie Musich,10811.00,10861.00,,13172.00
writeIns,218.00,183.00,171.00,
