condorcet winner: Brad Bourn,Brad Bourn,Geneva Hanvik,Meg Forney,Steven Jecha,writeIns
Brad Bourn,,86.34,55.09,76.19,98.92
Geneva Hanvik,13.66,,10.27,29.75,94.39
Meg Forney,44.91,89.73,,74.10,98.93
Steven Jecha,23.81,70.25,25.90,,97.23
writeIns,1.08,5.61,1.07,2.77,
