condorcet winner: Latrisha Vetaw,Bob Sullentrop,Charlie Casserly,Devin Hogan,Jonathan Honerbrink,Latrisha Vetaw,Londel French,Meg Forney,Mike Derus,Russ Henry,Scott Vreeland,writeIns
Bob Sullentrop,,4526.00,4635.00,4408.00,4643.00,4768.00,4041.00,4219.00,4691.00,5143.00,5135.00
Charlie Casserly,8840.00,,8797.00,8827.00,8113.00,8811.00,6770.00,7360.00,8663.00,9335.00,9330.00
Devin Hogan,21943.00,21494.00,,21751.00,16911.00,14729.00,19209.00,20495.00,16741.00,22199.00,22191.00
Jonathan Honerbrink,6604.00,6621.00,6661.00,,6194.00,6658.00,5675.00,5971.00,6688.00,7273.00,7269.00
Latrisha Vetaw,38660.00,38287.00,35673.00,38347.00,,33176.00,29918.00,34641.00,35055.00,38971.00,38950.00
Londel French,30835.00,30453.00,26638.00,30647.00,21473.00,,25961.00,29304.00,25850.00,31040.00,31029.00
Meg Forney,38730.00,37720.00,37448.00,38332.00,28940.00,35380.00,,33204.00,36511.00,39289.00,39263.00
Mike Derus,24308.00,23440.00,23837.00,24020.00,19958.00,23151.00,17318.00,,23094.00,24941.00,24928.00
Russ Henry,23708.00,23530.00,19913.00,23598.00,19500.00,17502.00,21127.00,22154.00,,24208.00,24192.00
Scott Vreeland,8.00,8.00,6.00,8.00,6.00,6.00,7.00,7.00,7.00,,8.00
writeIns,809.00,793.00,791.00,786.00,664.00,727.00,693.00,754.00,764.00,833.00,
