condorcet winner: Betsy Hodges,Betsy Hodges,Joseph Henry,Kris Broberg,writeIns
Betsy Hodges,,4416.00,4267.00,4721.00
Joseph Henry,623.00,,1397.00,2088.00
Kris Broberg,1642.00,2125.00,,2622.00
writeIns,56.00,55.00,40.00,
